Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
classic-opener-keyring-wedding,Classic Bottle Opener Keyring,"<p>Having a bottle opener on a keyring is very practical and will allow your guests to think of you everytime they open an ice cold beer on a hot summers day in South Africa.  Our glossy chrome keyrings are of an exception quality.  Your male guests will definitely appreciate this practical and stylish keyring.</p>
<p>keyring  measures 8,3 x 2,8m and comes in a little black box. Engraving on this item is also available, the b<span>randing size: 3 x 1,5cm.</span><br><br>Contact us for engraving options on this keyring, personalising your s and making it a very special gift.</p>",Macma,Gift,"gift, guest, key, key holder, key ring, keyring, keyrings, keys, men, practical, sale, south africa, wedding",true,Engraved,No,,,,,9226007,39,shopify,10490,deny,manual,28.00,,true,true,"",https://cdn.shopify.com/s/files/1/1914/4329/products/Classic_bottle_opener_keyring.jpg?v=1491815507,1,Classic Bottle Opener Keyring,false,Classic Bottle Opener Keyring  for Men,Our glossy chrome keyrings are of an exception quality. Your male guests will definitely appreciate this practical and stylish keyring.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,g,
classic-opener-keyring-wedding,,,,,,,,Yes,,,,,9226008,39,shopify,10490,deny,manual,54.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,g,
hip-flask-wedding,Hip Flask,"<p>Decidedly different, yet timeless and traditional, this handsome, hip flask is an unforgettable <i>gift for any genteman! Quality brushed stainless steel means that this flask will see your male wedding guests through many</i> toasts to your health and happiness.</p>
Reminiscent of pocket hip flasks manufactured in the 1920's and 1930<span>'s</span>, this is the perfect gift for a vintage themed wedding. Whenever the invitation reads B.Y.O.B., they'l be proud to reach for these handsome, hip flasks! This stainless steel flask accommodates 237ml of his ite potation and measures 12.5 x 9.5 x 2cm.<b>Size:</b> 237ml .",Macma,Wine,"flask, gift, guest, men, practical, sale, vintage, wedding, wine",true,Title,Hip Flask,,,,,MWF01,130,shopify,969,continue,manual,59.00,72.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/hip_flask.jpg?v=1491815505,1,Hip Flask  and gift for male wedding guests,false,Hip Flask  for Gentlemen,Hip Flask  for Gentlemen.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,g,
home-sweet-home-keyring,Home Sweet Home Keyring,"<p>Newlyweds, starting a new life together with a new home and a new future. Your wedding guests will instantly fall in love with these adorable Home SweetHome keyring s. They truly are the perfect weddingtoken to say thank you.</p>
<p>Delightfully designed and completely irresistible, your wedding guests will think of your wedding day every time they turn their keys. Each  is made of <span>zinc alloy &amp; polished nickel plating</span> and is designed to look like an adorable little house. Simply slip your keys through the ring and start using it. Measures. 7cm x 3cm</p>
<p><span>Includes black presentation box</span></p>
<p>This practical keyring is the perfect gift for the gentlemen at your wedding.</p>
<p>Keys not included ;)</p>
<p>Please note: we do not offer engraving on this item.</p>",Amrod,Practical,"gift, guest, home, keyring, men, opener, practical, thank you, token, wedding",true,Title,Home sweet Home Keyring,,,,,MWF02,38,shopify,893,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/home_sweer_home_key_ring.jpg?v=1491815504,1,Home sweet Home Keyring,false,Home sweet Home Keyring  or Token for Guests,"Newlyweds, starting a new life together with a new home and a new future.",Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/home_sweer_home_key_ring.jpg?v=1491815504,g,
compact-mirror-wedding-gift,Luxury Compact Mirror with Black Stone detail,"<p>The most beautiful and perfect  for your female guests.  This elegant compact mirror with black stone detail is a practical  which is always handy to have close by.</p>
Packaged in a black gift box and a velour bag. measures 0,9 x  7cm",Macma,Practical,"bridal, gifts, guests, mirror, practical, s, token, wedding",true,Title,Default Title,,,,,BRB01,123,shopify,800,continue,manual,84.00,90.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/luxury_make_up_mirror_with_a_black_decoration_stone.jpg?v=1491815503,1,Luxury Compact Mirror with Black Stone detail,false,Luxury Compact Mirror with Black Stone detail ,The perfect  for your female guests.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,g,
fleece-blanket,Soft Plush Warm Coral Fleece Blanket s,"<p>These beautiful and soft fleece blankets are the perfect for a autumn or winter wedding. These s will keep your guests warm at your reception especially one that is outside.</p>
<p>Your guests will love these gifts and will be sure to remember your wedding when they use them all winter long.</p>
<p>Measures approximately<span> 152.4cm ( l ) x 127cm ( w )</span></p>
<p><span>Made from high quality plush micro coral fleece. </span></p>",Amrod,DIY,"african, blanket, fleece, gift, plush, traditional, warm, winter",false,Color,Grey,,,,,Grey,0,shopify,562,deny,manual,160.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/29e7dc42501b264f26935d82335ef3f9.jpg?v=1491815502,1,Warm fleece blanket,false,Fleece Blanket Traditional African ,"High quality warm fleece blankets, perfect to keep a child warm at night or to give as a traditional African .",Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/coral_fleece_grey_1.png?v=1491815502,kg,
fleece-blanket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/coral_fleece_grey_1.png?v=1491815502,2,,,,,,,,,,,,,,,,,,,,
soccerball-keyring-wedding,Practical Keyring with rotating soccer ball,"<p>This practical metal keyring with its rotating soccer ball is the perfect accessory for your wedding guests' house keys. It will bring a bit of sporty fun to your wedding and the men in particular will really enjoy this gift.</p>
<p>The soccer ball keyring measures 10 x 3,2cm and is presented in a black gift box with a velvet bed that the keyring rest in, truly an exquisite gift with an expensive look and feel.</p>",Macma,Practical,"gift, guests, keyring, men, practical, s, soccer, sporty, wedding",true,Title,Practical Keyring with rotating soccer ball,,,,,MCR03,0,shopify,1717,continue,manual,20.00,28.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/key_ring_with_turning_soccer_ball.jpg?v=1491815499,1,Trendy Keyring with rotating soccer ball for Wedding Guests,false,Practical Keyring with rotating soccer ball s,This pracital metal keyring with its rotating soccer ball is the perfect gift for your wedding guests and the wonderful men's .,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
royal-flush-keyring,Playing Card Keyring,"<p>Our Royal Flush keyrings are perfect for your male guests. Be it for a Las Vegas bachelors or a poker themed wedding, these little s will be perfect.</p>
<p>Bring a little poker magic to your reception tables with this stunning keyring.</p>
<p>This practical  will remind your guests of their fun night with you every time they turn their keys.</p>
<p>The keyring is made from zinc alloy with a matt nickel plating and measures 5 ( l ) x 3.4 ( w ) x 0.4 ( h )cm</p>",Amrod,Practical,"keyring, men, poker, practical, vegas, wedding",false,Title,Playing Card Keyring,,,,,ANC01,0,shopify,52,deny,manual,20.00,28.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/playing-card-keyringii.jpg?v=1491815497,1,Poker Keyring ,false,Playing Card Keyring ,Our Royal Flush keyrings are perfect for your male guests.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
star-keyring,Wish Upon a Star Keyring s,"<p>This beautiful star keyring is perfect for a star themed wedding. Show your fiance how bright he/she makes your star shine with this practical .</p>
<p>Your guests will fondly think of your special day every time they turn a key and look at their gift./p&gt;</p>
<p>s come packaged in a black box and measures 5.1 ( l ) x 5.1 ( w ) x 0.7 ( h )cm</p>
<p> Please note: We do not offer engraving on this item.</p>",Amrod,Practical,"keyring, men, practical, star, wedding",true,Title,Wish Upon a Star Keyring,,,,,KH-7074,0,shopify,540,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/star_keyring.jpg?v=1491815496,1,Star Keyring Wedding Favor,false,Wish Upon a Star Practical Keyring s,This beautiful and practical star keyring is perfect for a star themed wedding and your guests will love their thank you gifts.,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors > Wedding Favors,,,,,,,,,,,,,,kg,
